speech_id,mot_cible,contexte_complet,fichier,speakerid,lastname,firstname,chamber,state,gender,party,district,nonvoting,date
970022740,monetary_policy,economy extreme limitations use fiscal monetary policy achieve necessary equilibrium comprehensive economic,speeches_97.txt,97108290,HAWKINS,AUGUSTUS,H,CA,M,D,29,voting,1981-04-30
970022740,monetary_policy,present draconian methods adopt longrun monetary policy moderate restraint reduce inflation policies,speeches_97.txt,97108290,HAWKINS,AUGUSTUS,H,CA,M,D,29,voting,1981-04-30
970022744,monetary_policy,policies gentleman suggesting favor expansionary monetary policy federal reserve accomplish goals gentleman,speeches_97.txt,97115140,REGULA,RALPH,H,OH,M,R,16,voting,1981-04-30
970022785,monetary_policy,federal reserve apply inflexibly restrictive monetary policy seen work staff study joint,speeches_97.txt,97106370,REUSS,HENRY,H,WI,M,D,5,voting,1981-04-30
970022785,monetary_policy,exists fact continuation extremely tight monetary policy extremely loose fiscal policy simply,speeches_97.txt,97106370,REUSS,HENRY,H,WI,M,D,5,voting,1981-04-30
970022791,monetary_policy,owvn communities economy nation given monetary policy reduces potential nation people inflationary,speeches_97.txt,97107830,KEMP,JACK,H,NY,M,R,38,voting,1981-04-30
970022895,monetary_policy,gets overlooked discussion taxing spending monetary policy certainly tha work gentleman work,speeches_97.txt,97106560,BETHUNE,EDWIN,H,AR,M,R,2,voting,1981-04-30
970022909,monetary_policy,rate cuts regulatory relief stable monetary policy program firmly based campaign commitments,speeches_97.txt,97118970,COATS,DANIEL,H,IN,M,R,4,voting,1981-04-30
970022909,monetary_policy,president proposed fourth program responsible monetary policy distinguished colleague gentleman indiana address,speeches_97.txt,97118970,COATS,DANIEL,H,IN,M,R,4,voting,1981-04-30
970022909,monetary_policy,accounts knowing return worth stable monetary policy enhance role marketplace principal force,speeches_97.txt,97118970,COATS,DANIEL,H,IN,M,R,4,voting,1981-04-30
970022929,monetary_policy,concern congress administration establishment stable monetary policy clearly monetary policy country jurisdiction,speeches_97.txt,97108310,HILER,JOHN,H,IN,M,R,3,voting,1981-04-30
970022929,monetary_policy,establishment stable monetary policy clearly monetary policy country jurisdiction federal reserve system,speeches_97.txt,97108310,HILER,JOHN,H,IN,M,R,3,voting,1981-04-30
970022929,monetary_policy,imply infringe ability establish stable monetary policy heavily dependent things congress spending,speeches_97.txt,97108310,HILER,JOHN,H,IN,M,R,3,voting,1981-04-30
970022929,monetary_policy,borrow borrow borrow hilt begin monetary policy stable gradually time bring growth,speeches_97.txt,97108310,HILER,JOHN,H,IN,M,R,3,voting,1981-04-30
970022929,monetary_policy,unemployment result desperately need stable monetary policy begin bring growth rate monetary,speeches_97.txt,97108310,HILER,JOHN,H,IN,M,R,3,voting,1981-04-30
970022935,monetary_policy,reducing growth spending following predictable monetary policy interwoven measures insure come terms,speeches_97.txt,97113350,SKEEN,JOSEPH,H,NM,M,R,2,voting,1981-04-30
970023201,monetary_policy,deregulation designed create noninflationary stable monetary policy retaining president calls social safety,speeches_97.txt,97108580,SMITH,VIRGINIA,H,NE,F,R,3,voting,1981-05-01
970023230,monetary_policy,places nearly antiinflationary efforts squarely monetary policy kaufman saidand listen sentencekaufman said,speeches_97.txt,97113650,GEPHARDT,RICHARD,H,MO,M,D,3,voting,1981-05-01
970023230,monetary_policy,try course fiscal restraint complement monetary policy actually inflation president answer way,speeches_97.txt,97113650,GEPHARDT,RICHARD,H,MO,M,D,3,voting,1981-05-01
970023354,monetary_policy,committees subcommittee international trade investment monetary policy section 2 b 3 lii,speeches_97.txt,97110650,NEAL,STEPHEN,H,NC,M,D,5,voting,1981-05-01
970023881,monetary_policy,associates congress cranked expansive fiscal monetary policy policy gave worst inflation half,speeches_97.txt,97107210,FIEDLER,BOBBI,H,CA,F,R,21,voting,1981-05-04
970024026,monetary_policy,law production creates demand rely monetary policy repress demand suppose interest rates,speeches_97.txt,97107520,WEAVER,JAMES,H,OR,M,D,4,voting,1981-05-04
970024060,monetary_policy,prove case certainly continued reliance monetary policy federal reserve board carry antiinflationary,speeches_97.txt,97107380,LUNDINE,STANLEY,H,NY,M,D,39,voting,1981-05-04
970024070,monetary_policy,high interest rates week secretary monetary policy admitted look world monetar1stcolored glasses,speeches_97.txt,97121790,WYDEN,RON,H,OR,M,D,3,voting,1981-05-04
970024070,monetary_policy,100 billion 2 years tight monetary policy words todays journal reports mr,speeches_97.txt,97121790,WYDEN,RON,H,OR,M,D,3,voting,1981-05-04
970024070,monetary_policy,administrations chief reliance going tight monetary policy high interest rates accommodate exorbitant,speeches_97.txt,97121790,WYDEN,RON,H,OR,M,D,3,voting,1981-05-04
970024083,monetary_policy,said presidents proposals combined tight monetary policy favored president produce continued doubledigit,speeches_97.txt,97107470,SEIBERLING,JOHN,H,OH,M,D,14,voting,1981-05-04
970024653,monetary_policy,system pointlessly following erratic course monetary policy pursuing alternating goals going undercut,speeches_97.txt,97107830,KEMP,JACK,H,NY,M,R,38,voting,1981-05-05
970024690,monetary_policy,taxes reduced federal regulation addition monetary policy noninflationary course reagan economic program,speeches_97.txt,97105730,BROWN,CLARENCE,H,OH,M,R,7,voting,1981-05-05
970024690,monetary_policy,benrrsm program called moderately tight monetary policy federal spending restraint reduced tax,speeches_97.txt,97105730,BROWN,CLARENCE,H,OH,M,R,7,voting,1981-05-05
